municipio,estado,bairro,combustivel,preco,revenda,endereco,data_coleta
JOAO PESSOA,PARAIBA,BAIRRO DOS ESTADOS,diesel comum,6.79,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ESPIRITO SANTO,810",2026-04-13
JOAO PESSOA,PARAIBA,BAIRRO DOS ESTADOS,etanol,4.77,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ESPIRITO SANTO,810",2026-04-13
JOAO PESSOA,PARAIBA,BAIRRO DOS ESTADOS,gasolina comum,6.47,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ESPIRITO SANTO,810",2026-04-13
JOAO PESSOA,PARAIBA,BESSA,etanol,4.77,POSTO EXPRESSAO,"AVENIDA PRESIDENTE AFONSO PENA,242",2026-04-13
JOAO PESSOA,PARAIBA,BESSA,gasolina aditivada,6.39,POSTO EXPRESSAO,"AVENIDA PRESIDENTE AFONSO PENA,242",2026-04-13
JOAO PESSOA,PARAIBA,BESSA,gasolina comum,6.38,POSTO EXPRESSAO,"AVENIDA PRESIDENTE AFONSO PENA,242",2026-04-13
JOAO PESSOA,PARAIBA,CIDADE DOS COLIBRIS,etanol,4.87,POSTO GLOBAL,"RUA PROFESSOR BURITY,30",2026-04-13
JOAO PESSOA,PARAIBA,CIDADE DOS COLIBRIS,gasolina comum,6.47,POSTO GLOBAL,"RUA PROFESSOR BURITY,30",2026-04-13
JOAO PESSOA,PARAIBA,CUIA,etanol,4.69,POSTO CAJUEIRO,"RUA ADALGISA CARNEIRO CAVALCANTI,550",2026-04-13
JOAO PESSOA,PARAIBA,CUIA,gasolina aditivada,6.68,POSTO CAJUEIRO,"RUA ADALGISA CARNEIRO CAVALCANTI,550",2026-04-13
JOAO PESSOA,PARAIBA,CUIA,gasolina comum,6.48,POSTO CAJUEIRO,"RUA ADALGISA CARNEIRO CAVALCANTI,550",2026-04-13
JOAO PESSOA,PARAIBA,ERNANI SATIRO,diesel comum,7.1,FANMAH,"RODOVIA BR-230,1000",2026-04-13
JOAO PESSOA,PARAIBA,ERNANI SATIRO,etanol,4.89,FANMAH,"RODOVIA BR-230,1000",2026-04-13
JOAO PESSOA,PARAIBA,ERNANI SATIRO,gasolina comum,6.47,FANMAH,"RODOVIA BR-230,1000",2026-04-13
JOAO PESSOA,PARAIBA,ESTADOS,gasolina aditivada,6.67,POSTO SANTA CATARINA,"AVENIDA SANTA CATARINA,545",2026-04-13
JOAO PESSOA,PARAIBA,ESTADOS,gasolina comum,6.47,POSTO SANTA CATARINA,"AVENIDA SANTA CATARINA,545",2026-04-13
JOAO PESSOA,PARAIBA,FUNCIONÁRIOS I,diesel comum,7.19,GP EXCELGAS,"RODOVIA BR 230,S/N",2026-04-13
JOAO PESSOA,PARAIBA,FUNCIONÁRIOS I,etanol,4.89,GP EXCELGAS,"RODOVIA BR 230,S/N",2026-04-13
JOAO PESSOA,PARAIBA,FUNCIONÁRIOS I,gasolina aditivada,6.64,GP EXCELGAS,"RODOVIA BR 230,S/N",2026-04-13
JOAO PESSOA,PARAIBA,FUNCIONÁRIOS I,gasolina comum,6.49,GP EXCELGAS,"RODOVIA BR 230,S/N",2026-04-13
JOAO PESSOA,PARAIBA,GRAMAME,etanol,4.77,POSTO GLOBAL,"RUA DAS ACACIAS,30",2026-04-13
JOAO PESSOA,PARAIBA,GRAMAME,gasolina aditivada,6.57,POSTO GLOBAL,"RUA DAS ACACIAS,30",2026-04-13
JOAO PESSOA,PARAIBA,GRAMAME,gasolina comum,6.47,POSTO GLOBAL,"RUA DAS ACACIAS,30",2026-04-13
JOAO PESSOA,PARAIBA,JD CIDADE UNIVERSITA,diesel comum,6.99,BEZERRA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA WALFREDO MACEDO BRANDAO,1060",2026-04-15
JOAO PESSOA,PARAIBA,JD CIDADE UNIVERSITA,etanol,4.77,BEZERRA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA WALFREDO MACEDO BRANDAO,1060",2026-04-15
JOAO PESSOA,PARAIBA,JD CIDADE UNIVERSITA,gasolina aditivada,6.67,BEZERRA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA WALFREDO MACEDO BRANDAO,1060",2026-04-15
JOAO PESSOA,PARAIBA,JD CIDADE UNIVERSITA,gasolina comum,6.47,BEZERRA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA WALFREDO MACEDO BRANDAO,1060",2026-04-15
JOAO PESSOA,PARAIBA,JOSE AMERICO,diesel comum,6.99,DEVILLE,"RUA VICTOR HANIERI SOARES GUIMARAES,220",2026-04-13
JOAO PESSOA,PARAIBA,JOSE AMERICO,etanol,4.99,DEVILLE,"RUA VICTOR HANIERI SOARES GUIMARAES,220",2026-04-13
